"170","조광페인트","기타 화학제품 제조업","004910"
"171","씨아이테크","그 외 기타 제품 제조업","004920"
"172","한신공영","건물 건설업","004960"
"173","신라교역","어로 어업","004970"
"174","성신양회","시멘트 석회 플라스터 및 그 제품 제조업","004980"
"175","롯데지주","기타 금융업","004990"
"176","휴스틸","1차 철강 제조업","005010"
"177","삼광글라스","유리 및 유리제품 제조업","005090"
"178","한창","기계장비 및 관련 물품 도매업","005110"
"179","동국산업","1차 철강 제조업","005160"
"180","빙그레","낙농제품 및 식용빙과류 제조업","005180"
"181","동성화학","기초 화학물질 제조업","005190"
"182","녹십자홀딩스","회사 본부 및 경영 컨설팅 서비스업","005250"
"183","동진쎄미켐","기초 화학물질 제조업","005290"
"184","롯데칠성음료","비알코올음료 및 얼음 제조업","005300"
"185","국동","생활용품 도매업","005320"
"186","모나미","생활용품 도매업","005360"
"187","현대자동차","자동차용 엔진 및 자동차 제조업","005380"
"188","코스모화학","기타 화학제품 제조업","005420"
"189","한국공항","기타 운송관련 서비스업","005430"
"190","현대그린푸드","종합 소매업","005440"
"191","신한","건물 건설업","005450"
"192","포스코","1차 철강 제조업","005490"
"193","SPC삼립","기타 식품 제조업","005610"
"194","푸드웰","과실 채소 가공 및 저장 처리업","005670"
"195","삼영전자공업","전자부품 제조업","005680"
"196","대원산업","자동차 신품 부품 제조업","005710"
"197","넥센","고무제품 제조업","005720"
"198","크라운해태홀딩스","기타 금융업","005740"
"199","대림비앤코","내화 비내화 요업제품 제조업","005750"
"200","신영와코루","봉제의복 제조업","005800"
"201","풍산홀딩스","기타 금융업","005810"
"202","원림","편조원단 제조업","005820"
"203","에스엘","자동차 신품 부품 제조업","005850"
"204","한일사료","동물용 사료 및 조제식품 제조업","005860"
"205","대한해운","해상 운송업","005880"
"206","삼성전자","통신 및 방송 장비 제조업","005930"
"207","이수화학","기초 화학물질 제조업","005950"
"208","동부건설","토목 건설업","005960"
"209","매일홀딩스","낙농제품 및 식용빙과류 제조업","005990"
"210","동원산업","어로 어업","006040"
"211","화승인더스트리","플라스틱제품 제조업","006060"
"212","삼아알미늄","1차 비철금속 제조업","006110"
