180,고려제강,[002240],유가증권시장상장법인,241,8.89E+11,6.35E+11,9.47E+11,2.00E+10,1.51E+12,2.40E+12
181,고영,[098460],코스닥시장상장법인,292,53420281404,35422324841,2.34E+11,6846975500,2.44E+11,2.97E+11
182,골드퍼시픽,[038530],코스닥시장상장법인,464,35241725300,34306437404,62108626618,16896736000,0,82902138489
183,골든센츄리,[900280],코스닥시장상장법인,649,258438728,257327227,872114019,118549315,1153666537,1412105265
184,골프존,[215000],코스닥시장상장법인,582,1.00E+11,60213197177,1.13E+11,3137707500,2.06E+11,3.06E+11
185,골프존뉴딘홀딩스,[121440],코스닥시장상장법인,461,3.34E+11,1.03E+11,1.02E+11,21418409000,4.69E+11,8.04E+11
186,광동제약,[009290],유가증권시장상장법인,212,3.16E+11,2.72E+11,4.97E+11,52420851000,4.46E+11,7.62E+11
187,광림,[014200],코스닥시장상장법인,301,1.45E+11,1.32E+11,1.06E+11,24812094500,78236751961,2.24E+11
188,광명전기,[017040],유가증권시장상장법인,281,62497181023,39651173409,79583065370,21668807500,1.02E+11,1.64E+11
189,광전자,[017900],유가증권시장상장법인,261,39899054597,23456133544,1.35E+11,28971881500,2.27E+11,2.67E+11
190,광진윈텍,[090150],코스닥시장상장법인,303,50208319281,24883316746,39216538917,4829196500,40245350479,90453669760
191,구영테크,[053270],코스닥시장상장법인,303,1.45E+11,88053922399,72049249637,13197087000,74557253080,2.19E+11
192,국도화학,[007690],유가증권시장상장법인,201,4.18E+11,2.75E+11,4.74E+11,29053080000,5.21E+11,9.39E+11
193,국동,[005320],유가증권시장상장법인,464,65471987616,56887738150,84496849958,13798078000,63002717991,1.28E+11
194,국보디자인,[066620],코스닥시장상장법인,424,88955327372,84427688374,1.72E+11,3.75E+09,1.18E+11,2.07E+11
195,국순당,[043650],코스닥시장상장법인,111,18910735681,6971297853,72563645728,8929152000,2.06E+11,2.25E+11
196,국제약품,[002720],유가증권시장상장법인,212,69663750937,54945932577,58258486238,18400520000,63841074970,1.34E+11
197,그리티,[204020],코스닥시장상장법인,141,19914943905,19012970746,84737032649,10493849000,74195931261,94110875166
198,그린플러스,[186230],코스닥시장상장법인,242,38639741180,21950675684,39586452169,2361936000,35265474353,73905215533
199,극동유화,[014530],유가증권시장상장법인,192,1.14E+11,75538589792,1.17E+11,17434710000,1.67E+11,2.82E+11
200,글로벌에스엠,[900070],코스닥시장상장법인,649,285717697,195803576,538064375,179367287,556340990,842058687
201,글로벌텍스프리,[204620],코스닥시장상장법인,661,55164748073,17675833135,98274613812,18627109000,67564012158,1.23E+11
202,금강공업,[014280],유가증권시장상장법인,241,5.00E+11,4.49E+11,3.68E+11,0,3.59E+11,8.59E+11
